ID segnalazione,Validità temporale,Categoria evento,Codice evento,Descrizione evento,Coord. Inizio,Coord. Fine,Coord. Media,Numero di Coord,Elenco coordinate,Tipo di rappresentazione,Data Inizio evento,Ora Inizio evento,Data Fine evento,Ora Fine evento,Località Inizio segnalazione,Origine,Località Fine segnalazione,Destinazione,Numero della strada,Lunghezza (m),Ritardo (s),Validità temporale,Probabilità,Numero segnalazioni,Ultimo aggiornamento
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43356378500012000,present,🚧,701,🚧Lavori stradali,"44.8440872667,10.3627694748","44.8447631609,10.3592343233","44.8444627447,10.3608168267",9,"[[10.3627694748,44.8440872667],[10.3619902931,44.8442360794],[10.361064931,44.8444144877],[10.3609200917,44.8444426574],[10.3608168267,44.8444627447],[10.3602253996,44.8445754232],[10.3601100646,44.8445981847],[10.3596822522,44.8446826935],[10.3592343233,44.8447631609]]",LineString,06/05/2025,23:15:30,,,,,Parma,,,14/10/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43356378424012000,present,⛔,401,⛔Strada chiusa,"44.844942875,10.3573393427","44.8438377787,10.3636398517","44.8444104465,10.3607967101",17,"[[10.3573393427,44.844942875],[10.357638409,44.8448248486],[10.3578288458,44.8448060689],[10.3582083784,44.8448060689],[10.3584819637,44.8447980459],[10.3588078521,44.8447765919],[10.3592691921,44.844697432],[10.3603474401,44.8444935887],[10.3607967101,44.8444104465],[10.3610461555,44.844363497],[10.3618575238,44.8442119509],[10.3627372883,44.8440349682],[10.3628579877,44.8440107802],[10.3631811939,44.8439303117],[10.3633260332,44.8438928112],[10.3634547792,44.84386999],[10.3636398517,44.8438377787]]",LineString,05/05/2025,12:37:30,,,Parma,,Parma,,,28/05/1901,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43405430468030000,present,⛔,401,⛔Strada chiusa,"44.7817419729,10.3670636915","44.7794473492,10.3672943614","44.780092409,10.3663462005",11,"[[10.3670636915,44.7817419729],[10.3666787945,44.7810164347],[10.36667343,44.7809976343],[10.3666680656,44.7809735387],[10.3665178619,44.7805537395],[10.3663462005,44.780092409],[10.3662590288,44.7797799349],[10.366261711,44.7796968184],[10.3663046263,44.7796538619],[10.3667699896,44.7795640221],[10.3672943614,44.7794473492]]",LineString,21/02/2025,10:06:00,,,Parma,,Parma,,,19/11/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43405430444030000,present,⛔,401,⛔Strada chiusa,"44.7794473492,10.3672943614","44.7817419729,10.3670636915","44.780092409,10.3663462005",11,"[[10.3672943614,44.7794473492],[10.3667699896,44.7795640221],[10.3663046263,44.7796538619],[10.366261711,44.7796968184],[10.3662590288,44.7797799349],[10.3663462005,44.780092409],[10.3665178619,44.7805537395],[10.3666680656,44.7809735387],[10.36667343,44.7809976343],[10.3666787945,44.7810164347],[10.3670636915,44.7817419729]]",LineString,21/02/2025,16:22:00,,,Parma,,Parma,,,19/11/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTL43189024748030000,present,🚗🚙🚚,101,🚙🚚Traffico stazionario,"45.0678438224,10.3747549258","45.0714997039,10.3738993011","45.0711147576,10.3742023908",15,"[[10.3747549258,45.0678438224],[10.3746047221,45.0687651848],[10.3744652472,45.069575183],[10.374308338,45.0706520845],[10.3742774926,45.0708170632],[10.3742520116,45.0710141845],[10.3742278717,45.0710785892],[10.3742023908,45.0711147576],[10.3741648398,45.0711536489],[10.3740763269,45.0712301293],[10.3739220999,45.0713494668],[10.3739033244,45.0713869966],[10.3738952778,45.0714272492],[10.3738939367,45.0714594513],[10.3738993011,45.0714997039]]",LineString,07/05/2025,12:11:00,07/05/2025,12:38:06,,,,,,20/02/1901,271,present,Certo (verificato),, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTL43408315876001001,present,🚗🚙🚚,108,🚗🚙🚚Code ,"44.7821536723,10.3787540995","44.7845515847,10.379415264","44.7835336769,10.3791121744",19,"[[10.3787540995,44.7821536723],[10.3788104258,44.7822502309],[10.3788747989,44.7824031298],[10.3789297841,44.7826042775],[10.3789686762,44.7828028069],[10.3789928161,44.782919473],[10.3790236615,44.7830750474],[10.3790384136,44.78320379],[10.3790746234,44.7833579953],[10.3791121744,44.7835336769],[10.3791282676,44.7836074476],[10.3791470431,44.7836879408],[10.3791792296,44.7838046051],[10.3791899584,44.7838595759],[10.3792033695,44.7839091924],[10.3792395793,44.7840432874],[10.3793227278,44.7842981505],[10.3793455265,44.7843665064],[10.379415264,44.7845515847]]",LineString,07/05/2025,12:05:00,07/05/2025,12:38:06,Parma,,Parma,,,28/09/1900,44,present,Certo (verificato),, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTL43255389376026000,present,🚗🚙🚚,101,🚙🚚Traffico stazionario,"44.9986737069,10.4156344734","44.9939838056,10.4179894529","44.9964112527,10.4167757534",7,"[[10.4156344734,44.9986737069],[10.4159402452,44.9980674863],[10.4167180859,44.9965265972],[10.4167757534,44.9964112527],[10.4168079399,44.9963468824],[10.4171593092,44.9956387461],[10.4179894529,44.9939838056]]",LineString,07/05/2025,12:15:00,07/05/2025,12:38:06,,,,,SPexSS343,06/07/1901,126,present,Certo (verificato),, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTL43676659180010000,present,🚗🚙🚚,108,🚗🚙🚚Code ,"44.4365201955,10.4300191604","44.4412623793,10.4402356945","44.4376454061,10.4346714519",56,"[[10.4300191604,44.4365201955],[10.4303906463,44.43666503],[10.4306105875,44.4367401403],[10.4307232402,44.4367696457],[10.4307996832,44.4367884382],[10.4308935605,44.4368072307],[10.430976709,44.4368179436],[10.4309981667,44.4368206368],[10.4311027728,44.4368286566],[10.4312824808,44.436840746],[10.4314755999,44.4368541521],[10.4316807889,44.4368662415],[10.4319034122,44.4368823408],[10.4320858024,44.4368943704],[10.432273557,44.436909153],[10.4324599706,44.4369292621],[10.43258067,44.4369413516],[10.4326423608,44.4369761834],[10.432850232,44.4370096986],[10.4330165289,44.4370432736],[10.4332029425,44.4370807986],[10.4334483646,44.4371425023],[10.4336066149,44.4371894234],[10.4338158272,44.43725783],[10.433979442,44.4373208502],[10.4341712199,44.4374053558],[10.4343576334,44.4374884847],[10.4345011316,44.4375582077],[10.4346714519,44.4376454061],[10.4348055624,44.4377245249],[10.4350000225,44.4378438612],[10.4351555906,44.4379444651],[10.4353124999,44.4380530883],[10.4361761712,44.438761199],[10.4364913307,44.4390079465],[10.4370385014,44.4394317776],[10.4375145935,44.4398166462],[10.4377063714,44.4399842736],[10.4378485285,44.4401049818],[10.4379638635,44.4401948694],[10.4381583236,44.4403517835],[10.4382709764,44.4404362248],[10.4384319089,44.4405462198],[10.4385821126,44.4406427496],[10.4386934243,44.4407044495],[10.4388221704,44.440775545],[10.4389562808,44.440842571],[10.4391185545,44.4409123497],[10.4392298661,44.4409619608],[10.4394015275,44.441030363],[10.4395128392,44.441074588],[10.4396751128,44.4411268919],[10.4397730135,44.4411550786],[10.4399004184,44.4411885914],[10.4401230417,44.4412368857],[10.4402356945,44.4412623793]]",LineString,07/05/2025,11:03:30,07/05/2025,12:38:06,Castelnuovo Ne' Monti ,,Castelnovo ne' Monti,,SS63,28/09/1902,146,present,Certo (verificato),, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43376576800012000,present,⛔,401,⛔Strada chiusa,"44.8470188774,10.4440296792","44.8473850062,10.44206362","44.8471329178,10.4433175527",6,"[[10.4440296792,44.8470188774],[10.4438513123,44.8470470458],[10.4434275232,44.8471154462],[10.4433175527,44.8471329178],[10.442360004,44.8473246881],[10.44206362,44.8473850062]]",LineString,07/05/2025,08:22:03,,,Sorbolo,,Sorbolo,,,08/06/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43275587220011000,present,🚧,701,🚧Lavori stradali,"44.9753156485,10.447326114","44.9753129802,10.4482943915","44.9753129802,10.4482943915",2,"[[10.447326114,44.9753156485],[10.4482943915,44.9753129802]]",LineString,23/04/2025,18:38:00,,,Casalmaggiore,,Casalmaggiore,,SPexSS358,16/03/1900,,present,Probabile,, - 
